URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/PholiotaMixta;Pholiota mixta;citronasti luskinar;Pholióta míxta (Fr.) Kuyper & Tjall.-Beuk. (1986);neužitna
https://www.gobe.si/Gobe/ConocybeNeoantipus;Conocybe neoantipus;korenasta stožka;Conócybe neoántipus (G.F. Atk.) Singer (1936);neužitna
https://www.gobe.si/Gobe/ExidiaThuretiana;Exidia thuretiana;beloblazinasta zamazanka;Exídia thuretiána (Lév.) Fr. (1874);neužitna
https://www.gobe.si/Gobe/RamariaIgnicolor;Ramaria ignicolor;ognjena griva;Ramária ignícolor Corner (1950);strupena
https://www.gobe.si/Gobe/CortinariusMacropus;Cortinarius macropus;dolgobetna koprenka;Cortinárius mácropus (Fr.) Fr. (1838);neužitna
https://www.gobe.si/Gobe/PseudospermaFlavellum;Pseudosperma flavellum;rumena parazcepljenka;Pseudospérma flavéllum (P. Karst.) Matheny & Esteve-Rav. (2019);neužitna
https://www.gobe.si/Gobe/MycenaAlbidolilacea;Mycena albidolilacea;vijoličastobela čeladica;Mycéna álbidolilácea Kühner & Maire (1938);neužitna
https://www.gobe.si/Gobe/MyriostomaColiforme;Myriostoma coliforme;sitasti prašnikar;Myrióstoma colifórme (Dicks.) Corda (1842);neužitna
https://www.gobe.si/Gobe/InocybeRufoalba;Inocybe rufoalba;medlenkasta razcepljenka;Inócybe rufoálba Sacc. (1887);neužitna
https://www.gobe.si/Gobe/StereumOstrea;Stereum ostrea;kolobarčasta slojevka;Stéreum óstrea (Blume & T. Nees) Fr. (1838);neužitna
https://www.gobe.si/Gobe/HebelomaCircinans;Hebeloma circinans;kolobarna medlenka;Hebelóma círcinans (Quél.) Sacc. (1891);neužitna
https://www.gobe.si/Gobe/ThaxterogasterPluvialis;Thaxterogaster pluvialis;pelinova trebušarka;Thaxtérogáster pluviális (Kühner) Niskanen & Liimat. (2022);neužitna
https://www.gobe.si/Gobe/CortinariusErythrinus;Cortinarius erythrinus;rožnobetna koprenka;Cortinárius erýthrinus (Fr.) Fr. (1838);neužitna
https://www.gobe.si/Gobe/CortinariusBulbosus;Cortinarius bulbosus;trebuhasta koprenka;Cortinárius bulbósus (Sowerby) Grey (1821);neužitna
https://www.gobe.si/Gobe/LepiotaParvannulata;Lepiota parvannulata;travniški dežniček;Lepióta parvannuláta (Lasch) Gillet (1874);neužitna
https://www.gobe.si/Gobe/AgaricusMinimus;Agaricus minimus;drobceni kukmak;Agáricus mínimus (Ricken) Pilát (1951);neužitna
https://www.gobe.si/Gobe/ClitocybeCacabus;Clitocybe cacabus;kakavnorjava livka;Clitócybe cácabus (Fr.) Gillet (1874);neužitna
https://www.gobe.si/Gobe/LeucopaxillusPhaeopus;Leucopaxillus phaeopus;rjavobetna velepodvihanka;Leucopaxíllus phaéopus (J. Favre & Poluzzi) Bon (1987);neužitna
https://www.gobe.si/Gobe/SarcodontiaSpumea;Sarcodontia spumea;penasta bodičevka;Sarcodóntia spúmea (Sowerby) Spirin (2001);neužitna
https://www.gobe.si/Gobe/PsathyrellaProna;Psathyrella prona;travniška črnivka;Psathyrélla próna (Fr.) Gillet (1878);neužitna
https://www.gobe.si/Gobe/LyophyllumKonradianum;Lyophyllum konradianum;Konradov zajček;Lyophýllum konradiánum (Maire) Kühner & Romagn. (1953);neužitna
https://www.gobe.si/Gobe/HebelomaMalenconii;Hebeloma malenconii;obledela medlenka;Hebelóma malencónii Bellù & Lanzoni (1988);neužitna
https://www.gobe.si/Gobe/PluteusCinereofuscus;Pluteus cinereofuscus;gladkokožna ščitovka;Plúteus cinéreofúscus J.E. Lange (1917);neužitna
https://www.gobe.si/Gobe/OrbiliaXanthostigma;Orbilia xanthostigma;žolta oblovka;Orbília xanthostígma (Fr.) Fr. (1849);<p>orbília xanthostígma (fr.) fr. (1849)
https://www.gobe.si/Gobe/ArrheniaObatra;Arrhenia obatra;dimasti jezičar;Arrhénia obátra (J. Favre) Redhead, Lutzoni, Moncalvo & Vilgalys (2002);neužitna
https://www.gobe.si/Gobe/HypocreaLactea;Hypocrea lactea;bela blazinovka;Hypócrea láctea (Fr.) Fr. (1849);neužitna
https://www.gobe.si/Gobe/MycenaPterigena;Mycena pterigena;steljina čeladica;Mycéna pterígena (Fr.) P. Kumm. (1871);neužitna
https://www.gobe.si/Gobe/HydnoporiaTabacina;Hydnoporia tabacina;tobakasti usnjevec;Hydnopória tabacína (Sowerby) Spirin, Miettinen & KH Larss. (2019);neužitna
https://www.gobe.si/Gobe/RussulaAquosa;Russula aquosa;močvirska golobica;Rússula aquósa Leclair (1933);neužitna
https://www.gobe.si/Gobe/CortinariusSphagnogenus;Cortinarius sphagnogenus;šotna koprenka;Cortinárius sphagnógenus (M.M. Moser) Nezdojm. (1976);neužitna
https://www.gobe.si/Gobe/CortinariusImpennis;Cortinarius impennis;prepregasta koprenka;Cortinárius impénnis Fr. (1838);neužitna
https://www.gobe.si/Gobe/AgaricusBernardii;Agaricus bernardii;Bernardov kukmak;Agáricus bernárdii Quél. (1878);neužitna
https://www.gobe.si/Gobe/GymnopilusPicreus;Gymnopilus picreus;rezka plamenka;Gymnopílus pícreus (Pers.) P. Karst. (1879);<p>gymnopílus pícreus (pers.) p. karst. (1879);neužitna
https://www.gobe.si/Gobe/CalonariusFulvoincarnatus;Calonarius fulvoincarnatus;mesnorjavi koprenar;Calonárius fúlvoincarnátus (Joach. ex Bid., Moën.-Locc. & Reum.) Nisk. & Liim. (2022);neužitna
