 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  1051. Oudemansiélla ephíppium (Fr.) M.M. Moser (1955)                   brazdasta širokolistka        UN
  1052. Oudemansiélla múcida (Schrad.) Höhn. (1910)                       sluzasta širokolistka          U

185.   OXÝPORUS                                                     GOSTOPORI
  1053. Oxýporus populínus (Schumach.) Donk (1933)                        topolov gostopor              NU

186.   PACHYKYTÓSPORA                                               GRČEVKE
  1054. Pachykytóspora tuberculósa (Fr.) Kotl. & Pouzar (1963)            debelikasta grčevka           NU

187.   PANÁEOLUS                                                    GOVNARJI
  1055. Panáeolus acuminátus (Schaeff.) Quél. (1874)                      koničasti govnar                S
  1056. Panáeolus antillárum (Fr.) Dennis (1961)                          beli govnar              NU, 2819
  1057. Panáeolus fimícola (Pers.) Gillet (1878)                          gnojiščni govnar                S
  1058. Panáeolus leucophánes (Berk. & Broome) Sacc. (1887)               belkasti govnar                 S
  1059. Panáeolus papilionáceus (Bull.) Quél. (1872)                      pisani govnar                   S
  1060. Panáeolus semiovátus (Sowerby) S. Lundell & Nannf. (1938)         obročkani govnar          NU, 133




Mikološka zveza Slovenije                  OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                        32
188.   PANÉLLUS                                                          ZGRUČEVCI
  1061. Panéllus mítis (Pers.) Singer (1936)                                 mili zgručevec                  NU
  1062. Panéllus stípticus (Bull.) P. Karst. (1879)                          trpki zgručevec                 NU

189.   PÁNUS                                                             STRNJENCI
  1063. Pánus conchátus (Bull.) Fr. (1838)                                   školjkasti strnjenec       NU, 1528

190.   PARASÓLA                                                          ČRNILOVKE
  1064. Parasóla aurícoma (Pat.) Redhead, Vilgalys & Hopple (2001)           zlatolasa črnilovka         NU, 434
  1065. Parasóla conopílus (Fr.) Örstadius & E. Larss. (2008)                bombažnata črnilovka       NU, 2097
  1066. Parasóla plicátilis (Curtis) Redhead, Vilgalys & Hopple (2001)       zgubana črnilovka           NU, 452

191.   PAXÍLLUS                                                          PODVIHANKE
  1067. Paxíllus involútus (Batsch) Fr. (1838)                               navadna podvihanka              SS
  1068. Paxíllus rubicúndulus P.D. Orton (1969)                              jelševa podvihanka               U

192.   PENIÓPHORA                                                        OPNOVKE
  1069. Penióphora cinérea (Pers.) Cooke (1879)                              siva opnovka                    NU
  1070. Penióphora incarnáta (Pers.) P. Karst. (1889)                        mesnordeča opnovka         NU, 2820
  1071. Penióphora limitáta (Chaillet ex Fr.) Cooke (1879)                   jesenova opnovka                NU
  1072. Penióphora píni (Schleich.) Boidin (1956)                            borova opnovka                  NU
  1073. Penióphora polygónia (Pers.) Bourdot & Galzin (1928)                 trepetlikova opnovka            NU
  1074. Penióphora quercína (Pers.) Cooke (1879)                             hrastova opnovka                NU

193.   PERENNIPÓRIA                                                      VEČNOLUKNJIČARJI
  1075. Perennipória fraxínea (Bull.) Ryvarden (1978)                        jesenov večnoluknjičar          NU

194.   PEZÍZA                                                            SKLEDICE
  1076. Pezíza bádia Pers. (1800)                                            rjava skledica                  PU
  1077. Pezíza cérea Sowerby (1796)                                          jutina skledica                 NU
  1078. Pezíza michélii (Boud.) Dennis (1960)                                michelijeva skledica            NU
  1079. Pezíza succósa Berk. (1841)                                          sočna skledica                  PU
  1080. Pezíza vária (Hedw.) Fr. (1822)                                      raznolična skledica             NU
  1081. Pezíza vesiculósa Bull. (1790)                                       mehurjasta skledica             PU

195.   PHAEOCOLLÝBIA                                                     TEMAČNICE
  1082. Phaeocollýbia christínae (Fr.) R. Heim (1931)                        oranžna temačnica               NU
  1083. Phaeocollýbia cídaris (Fr.) Romagn. (1944)                           škrlatna temačnica              NU
  1084. Phaeocollýbia lúgubris (Fr.) R. Heim (1931)                          navadna temačnica               NU

196.   PHAEOLEPIÓTA                                                      LUSKARICE
  1085. Phaeolepióta áurea (Matt.) Maire (1928)                              bleščava luskarica               U

197.   PHÁEOLUS                                                          RJAVOPORI
  1086. Pháeolus schweinítzii (Fr.) Pat. (1900)                              žoltorobi rjavopor              NU

198.   PHÁLLUS                                                           MAVRAHOVCI
  1087. Phállus hadriáni Vent. (1798)                                        hadrijanov mavrahovec           MU
  1088. Phállus impudícus L. (1753)                                          smrdljivi mavrahovec            MU

199.   PHÉLLINUS                                                         PLUTAČI
  1089. Phéllinus conchátus (Pers.) Quél. (1886)                             školjkasti plutač               NU
  1090. Phéllinus contíguus (Pers.) Pat. (1928)                              velikoluknjičasti plutač        NU
  1091. Phéllinus ferruginósus (Schrad.) Pat. (1900)                         rjasti plutač                   NU
